@relation hcr_hashlex_testset

@attribute 41 numeric
@attribute 43 numeric
@attribute 42 numeric
@attribute 40 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 39 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute df.result.emo_pos numeric
@attribute df.result.emo_neg numeric
@attribute df.result.lex_pos numeric
@attribute df.result.lex_neg numeric
@attribute df.result.classe {positive,negative}

@data
3,7,5,1,5,2,0,0,0,0,0,0,0,positive
1,6,2,1,1,3,2,0,0,0,0,0,0,positive
5,2,4,2,3,7,0,0,0,0,0,2,0,positive
3,3,9,0,2,1,0,0,0,0,0,1,0,positive
7,6,11,1,2,1,0,0,0,0,0,1,0,positive
3,4,5,2,12,1,0,0,0,0,0,1,0,positive
4,6,6,1,6,3,0,1,0,0,0,2,0,positive
2,8,2,1,4,4,0,0,0,0,0,1,0,positive
3,4,6,0,5,0,0,1,0,0,0,1,0,positive
4,1,4,0,0,2,0,0,0,0,0,0,0,positive
3,4,5,1,2,1,0,0,0,0,0,0,0,positive
2,5,6,0,6,0,0,0,0,0,0,0,0,positive
1,3,4,1,0,2,0,0,0,0,0,0,0,positive
4,6,11,0,0,0,0,0,0,0,0,2,1,positive
1,6,3,1,2,3,0,0,0,0,0,1,1,positive
8,10,5,5,4,1,1,0,0,0,0,3,0,positive
8,6,13,2,9,1,0,0,0,0,0,2,2,positive
6,4,3,1,5,0,0,0,0,0,0,1,0,positive
1,10,1,0,2,1,0,1,0,0,0,0,1,positive
3,5,3,1,2,0,0,0,0,0,0,1,0,positive
3,3,9,0,2,1,0,0,0,0,0,1,0,positive
2,5,6,0,4,0,0,0,0,0,0,0,0,positive
4,5,8,1,2,0,0,0,0,0,0,1,1,positive
3,2,3,0,1,0,0,0,0,0,0,1,0,positive
4,7,4,2,1,1,0,0,0,0,0,0,1,positive
3,3,0,1,2,0,0,0,0,0,0,1,0,positive
4,6,6,0,6,1,0,0,0,0,0,1,3,positive
4,10,8,2,3,0,0,0,0,0,0,1,0,positive
4,1,3,0,5,3,0,0,0,0,0,1,0,positive
3,10,13,0,3,2,0,0,0,0,0,0,0,positive
1,4,5,0,1,0,0,0,0,0,0,1,0,positive
7,11,5,2,6,0,0,0,0,0,0,2,0,positive
3,10,9,2,3,1,0,0,0,0,0,2,1,positive
0,1,3,0,0,0,0,0,0,0,0,1,0,positive
7,7,9,1,3,1,0,0,0,0,0,1,0,positive
1,1,6,0,1,1,0,0,0,1,0,1,0,positive
6,7,9,1,1,0,0,0,0,0,0,3,0,positive
