@relation hcr_hashlex_trainset

@attribute 41 numeric
@attribute 43 numeric
@attribute 42 numeric
@attribute 40 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 39 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute df.result.emo_pos numeric
@attribute df.result.emo_neg numeric
@attribute df.result.lex_pos numeric
@attribute df.result.lex_neg numeric
@attribute df.result.classe {positive,negative}

@data
8,7,9,0,1,0,1,0,0,0,0,2,0,positive
2,4,3,0,1,0,0,0,0,0,0,0,1,positive
4,3,5,0,2,0,1,0,0,0,0,1,2,positive
4,4,7,0,2,0,0,0,0,0,0,1,0,positive
0,5,3,1,8,9,0,1,0,0,0,1,0,positive
3,4,2,1,3,0,0,1,0,0,0,1,1,positive
6,13,12,1,3,2,0,0,0,0,0,1,2,positive
9,13,6,0,7,0,0,0,0,0,0,0,2,positive
3,1,6,1,0,2,0,1,0,1,0,0,1,positive
3,3,7,0,1,1,0,0,0,0,0,2,0,positive
2,1,10,1,1,0,0,0,0,0,0,1,1,positive
3,5,2,0,3,2,0,0,0,0,0,0,1,positive
1,1,2,0,3,1,0,0,0,0,0,1,0,positive
4,4,5,0,3,3,0,0,0,0,0,4,0,positive
4,2,4,0,5,0,0,0,0,0,0,1,1,positive
1,6,4,0,6,4,0,0,0,0,0,2,0,positive
5,9,9,2,3,2,0,0,0,0,0,0,0,positive
11,9,4,4,7,0,1,0,0,0,0,0,0,positive
9,15,20,3,6,5,0,1,0,0,0,0,0,positive
1,7,3,0,4,0,0,0,0,0,0,0,1,positive
13,13,17,3,9,1,0,0,0,0,0,0,0,positive
3,6,6,0,3,3,0,0,0,0,0,2,0,positive
3,16,12,2,5,4,0,0,0,0,0,1,3,positive
3,6,8,0,5,4,0,1,0,0,0,2,0,positive
9,5,10,2,7,2,0,0,0,0,0,1,0,positive
6,4,9,2,4,2,0,0,0,0,0,1,1,positive
9,7,10,2,8,3,0,1,0,0,0,1,0,positive
5,6,10,1,5,4,0,1,0,0,0,2,0,positive
1,5,5,0,2,0,0,0,0,0,0,1,0,positive
9,3,4,4,1,1,0,0,0,0,0,0,1,positive
8,5,5,0,3,1,0,0,0,0,0,0,1,positive
0,2,0,0,1,0,2,0,0,0,0,0,0,positive
4,7,9,3,1,0,0,0,0,0,0,0,0,positive
2,5,6,3,1,0,1,0,0,0,0,1,1,positive
5,6,8,0,3,0,0,0,0,0,0,0,2,positive
0,4,4,1,5,3,0,1,0,0,0,0,1,positive
3,4,6,3,3,1,1,0,0,0,0,1,2,positive
6,3,12,1,2,2,0,0,0,0,0,1,1,positive
2,2,2,1,1,1,0,0,0,0,0,0,0,positive
2,5,10,1,4,3,0,0,0,0,0,0,0,positive
1,2,3,1,3,3,0,0,0,0,0,0,0,positive
1,4,5,1,1,3,0,0,0,1,0,1,0,positive
4,6,7,1,5,3,0,0,0,0,0,2,0,positive
3,5,4,0,5,5,0,0,0,0,0,1,0,positive
1,0,0,0,1,0,0,0,0,0,0,0,0,positive
3,11,14,0,6,3,0,0,0,0,0,1,0,positive
2,0,3,0,0,0,0,0,0,0,0,0,0,positive
8,9,12,1,4,3,0,0,0,0,0,3,0,positive
8,5,9,0,0,0,0,0,0,0,0,1,0,positive
8,9,19,5,2,4,0,0,0,0,0,1,0,positive
1,0,1,0,4,4,0,0,0,0,0,0,0,positive
2,7,6,2,5,0,0,0,0,0,0,1,0,positive
2,3,9,1,0,1,0,0,0,0,0,1,1,positive
5,7,5,0,1,3,0,0,0,0,0,2,0,positive
2,4,4,0,3,0,0,1,0,0,0,1,0,positive
5,4,8,2,5,3,0,0,0,0,0,0,0,positive
2,8,3,0,4,4,0,0,0,1,0,0,1,positive
2,5,5,0,4,0,0,0,0,0,0,0,0,positive
8,4,8,0,7,4,0,0,0,0,0,2,0,positive
0,8,5,0,3,4,0,0,0,0,0,1,0,positive
3,8,6,1,10,1,0,0,0,0,0,0,0,positive
5,7,8,0,4,0,1,0,0,0,0,0,0,positive
6,5,10,0,6,2,0,1,2,0,0,1,0,positive
5,0,3,3,0,0,0,0,0,0,0,0,0,positive
3,4,7,0,0,2,0,0,0,0,0,1,0,positive
1,4,8,0,4,3,0,0,0,0,0,0,1,positive
6,3,8,1,2,0,0,0,0,0,0,0,0,positive
2,6,6,0,8,2,0,1,0,0,0,1,0,positive
6,4,9,0,0,0,0,0,0,0,0,1,0,positive
7,3,9,2,0,0,0,0,0,0,0,1,0,positive
4,5,8,2,9,2,0,1,0,0,0,1,0,positive
6,3,4,2,2,2,0,2,0,0,0,1,0,positive
8,6,8,1,2,4,0,0,0,0,0,1,0,positive
8,7,13,1,1,1,0,0,0,0,0,2,1,positive
5,9,12,0,2,0,0,1,0,0,0,1,0,positive
1,3,5,0,3,2,0,0,0,0,0,3,0,positive
6,5,7,2,5,5,0,0,0,0,0,1,0,positive
2,3,6,2,3,3,0,0,0,0,0,1,0,positive
7,5,4,3,5,2,1,1,0,0,0,0,1,positive
7,7,5,3,7,2,1,1,0,0,0,0,1,positive
0,6,5,0,1,0,0,0,0,0,0,1,0,positive
3,2,8,1,1,0,0,0,0,0,0,0,0,positive
1,5,6,3,4,6,0,1,0,0,0,2,0,positive
5,9,10,0,5,1,0,0,0,0,0,1,0,positive
10,11,14,5,5,0,0,0,0,0,0,0,0,positive
6,2,11,0,6,1,0,0,0,0,0,0,0,positive
6,4,7,5,2,1,0,0,0,0,0,1,0,positive
3,8,10,0,4,4,0,0,0,0,0,2,0,positive
0,10,3,0,4,0,0,0,0,0,0,1,0,positive
5,3,6,0,6,0,0,1,0,0,0,1,0,positive
1,2,5,1,1,0,0,0,0,0,0,0,1,positive
1,5,4,0,4,2,0,0,0,0,0,1,1,positive
4,8,5,0,2,2,0,0,0,0,0,3,0,positive
10,4,24,1,3,0,0,0,0,0,0,1,0,positive
4,3,6,0,1,0,0,0,0,0,0,1,2,positive
3,4,6,1,2,1,0,2,0,0,0,3,0,positive
1,6,3,0,4,0,0,0,0,0,0,2,0,positive
0,2,5,0,2,1,0,0,0,0,0,0,2,positive
3,1,2,0,1,0,0,0,0,0,0,2,0,positive
4,4,2,3,4,0,0,0,0,0,0,0,1,positive
2,5,9,0,4,2,0,1,0,0,0,1,0,positive
3,9,8,0,6,1,0,0,0,0,0,1,0,positive
1,6,3,1,4,2,0,0,0,0,0,0,2,positive
1,2,4,0,4,2,0,0,0,0,0,0,0,positive
1,4,7,1,3,4,0,0,0,0,0,1,0,positive
1,3,4,1,2,1,0,0,0,0,0,1,0,positive
5,4,6,2,5,3,0,0,0,0,0,2,1,positive
2,5,5,1,7,3,0,0,0,0,0,0,0,positive
0,1,1,0,1,0,0,0,0,0,0,1,0,positive
7,4,3,0,0,0,0,0,0,0,0,0,1,positive
4,4,12,0,3,1,0,0,0,0,0,3,1,positive
7,12,9,3,9,2,0,0,0,0,0,0,0,positive
8,6,8,1,3,0,0,0,0,0,0,0,1,positive
3,5,6,1,3,0,0,0,0,0,0,0,0,positive
12,18,16,2,4,2,0,0,0,0,0,1,0,positive
4,6,10,1,2,1,0,0,0,0,0,1,2,positive
